City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
Bauru;Brazil - Bauru - Bauru;-22.326609,-49.09276;BR;O3;Sao Paulo;µg/m³;66.0;2017-10-27T14:00:00-04:00;Brazil
Limeira;Brazil - Limeira - Limeira;-22.563604,-47.414314;BR;O3;Sao Paulo;µg/m³;115.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - S.José dos Campos;-23.187887,-45.871197;BR;O3;Sao Paulo;µg/m³;105.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Itaim Paulista;-23.501547,-46.42074;BR;O3;Sao Paulo;µg/m³;80.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Carapicuíba;-23.531395,-46.83578;BR;O3;Sao Paulo;µg/m³;65.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - N.Senhora do Ó;-23.480099,-46.69205;BR;O3;Sao Paulo;µg/m³;57.0;2017-10-27T14:00:00-04:00;Brazil
Sorocaba;Brazil - Sorocaba - Sorocaba;-23.502426,-47.47903;BR;O3;Sao Paulo;µg/m³;50.0;2017-10-27T14:00:00-04:00;Brazil
Cubatão;Brazil - Cubatão - Cubatão-Vale do Mogi;-23.831589,-46.369568;BR;O3;Sao Paulo;µg/m³;33.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Mooca;-23.549734,-46.600418;BR;O3;Sao Paulo;µg/m³;43.0;2017-10-27T14:00:00-04:00;Brazil
Santo André;Brazil - Santo André - S.André-Capuava;-23.639803,-46.49164;BR;O3;Sao Paulo;µg/m³;68.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Santo Amaro;-23.654978,-46.71;BR;O3;Sao Paulo;µg/m³;35.0;2017-10-27T14:00:00-04:00;Brazil
Guarulhos;Brazil - Guarulhos - Guarulhos-Paço Municipal;-23.455534,-46.51853;BR;O3;Sao Paulo;µg/m³;68.0;2017-10-27T14:00:00-04:00;Brazil
Araraquara;Brazil - Araraquara - Araraquara;-21.782522,-48.185833;BR;O3;Sao Paulo;µg/m³;138.0;2017-10-27T13:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Cid.Universitária-USP-Ipen;-23.566341,-46.737415;BR;O3;Sao Paulo;µg/m³;114.0;2017-10-13T11:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Pico do Jaraguá;-23.456268,-46.766098;BR;O3;Sao Paulo;µg/m³;64.0;2017-10-27T14:00:00-04:00;Brazil
Taubaté;Brazil - Taubaté - Taubaté;-23.03235,-45.575806;BR;O3;Sao Paulo;µg/m³;115.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Ibirapuera;-23.591843,-46.660686;BR;O3;Sao Paulo;µg/m³;61.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Mogi das Cruzes;-23.518171,-46.18686;BR;O3;Sao Paulo;µg/m³;77.0;2017-10-27T14:00:00-04:00;Brazil
Presidente Prudente;Brazil - Presidente Prudente - Presidente Prudente;-22.119936,-51.408775;BR;O3;Sao Paulo;µg/m³;68.0;2017-10-27T14:00:00-04:00;Brazil
Tatuí;Brazil - Tatuí - Tatuí;-23.360752,-47.8708;BR;O3;Sao Paulo;µg/m³;41.0;2017-10-26T03:00:00-04:00;Brazil
Jaú;Brazil - Jaú - Jaú;-22.29862,-48.56746;BR;O3;Sao Paulo;µg/m³;65.0;2017-10-27T14:00:00-04:00;Brazil
Catanduva;Brazil - Catanduva - Catanduva;-21.141943,-48.983074;BR;O3;Sao Paulo;µg/m³;115.0;2017-10-27T14:00:00-04:00;Brazil
Araçatuba;Brazil - Araçatuba - Araçatuba;-21.186842,-50.439316;BR;O3;Sao Paulo;µg/m³;96.0;2017-10-27T14:00:00-04:00;Brazil
Jacareí;Brazil - Jacareí - Jacareí;-23.294199,-45.968235;BR;O3;Sao Paulo;µg/m³;77.0;2017-09-26T11:00:00-04:00;Brazil
Mauá;Brazil - Mauá - Mauá;-23.668549,-46.466;BR;O3;Sao Paulo;µg/m³;58.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Pinheiros;-23.56146,-46.702015;BR;O3;Sao Paulo;µg/m³;33.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Ribeirão Preto-Centro;-21.177067,-47.81899;BR;O3;Sao Paulo;µg/m³;124.0;2017-10-27T14:00:00-04:00;Brazil
Diadema;Brazil - Diadema - Diadema;-23.685877,-46.61162;BR;O3;Sao Paulo;µg/m³;54.0;2017-08-14T01:00:00-04:00;Brazil
Marília;Brazil - Marília - Marília;-22.19981,-49.95997;BR;O3;Sao Paulo;µg/m³;76.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Santana;-23.505993,-46.62896;BR;O3;Sao Paulo;µg/m³;45.0;2017-10-27T14:00:00-04:00;Brazil
Santos;Brazil - Santos - Santos;-23.963057,-46.32117;BR;O3;Sao Paulo;µg/m³;78.0;2017-10-27T14:00:00-04:00;Brazil
Americana;Brazil - Americana - Americana;-22.724253,-47.33955;BR;O3;Sao Paulo;µg/m³;102.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Guaratinguetá;-22.801918,-45.191124;BR;O3;Sao Paulo;µg/m³;88.0;2017-10-27T14:00:00-04:00;Brazil
Piracicaba;Brazil - Piracicaba - Piracicaba;-22.701221,-47.649654;BR;O3;Sao Paulo;µg/m³;89.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - S.José dos Campos-Jd.Satélite;-23.223646,-45.8908;BR;O3;Sao Paulo;µg/m³;106.0;2017-10-27T14:00:00-04:00;Brazil
Campinas;Brazil - Campinas - Campinas-Taquaral;-22.874619,-47.05897;BR;O3;Sao Paulo;µg/m³;129.0;2017-10-27T14:00:00-04:00;Brazil
Cubatão;Brazil - Cubatão - Cubatão-Centro;-23.879026,-46.418484;BR;O3;Sao Paulo;µg/m³;91.0;2017-10-27T14:00:00-04:00;Brazil
Guarulhos;Brazil - Guarulhos - Guarulhos-Pimentas;-23.440117,-46.40995;BR;O3;Sao Paulo;µg/m³;79.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Grajau-Parelheiros;-23.776266,-46.69696;BR;O3;Sao Paulo;µg/m³;64.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Interlagos;-23.680508,-46.675045;BR;O3;Sao Paulo;µg/m³;68.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Paulínia-Sul;-22.786806,-47.13656;BR;O3;Sao Paulo;µg/m³;23.0;2017-10-19T20:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Capão Redondo;-23.668356,-46.780045;BR;O3;Sao Paulo;µg/m³;59.0;2017-10-27T14:00:00-04:00;Brazil
São Bernardo do Campo;Brazil - São Bernardo do Campo - S.Bernardo-Centro;-23.698671,-46.54623;BR;O3;Sao Paulo;µg/m³;66.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Parque D.Pedro II;-23.544846,-46.627674;BR;O3;Sao Paulo;µg/m³;34.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - São Caetano do Sul;-23.618443,-46.556355;BR;O3;Sao Paulo;µg/m³;71.0;2017-10-27T14:00:00-04:00;Brazil
Campinas;Brazil - Campinas - Campinas-V.União;-22.946728,-47.11928;BR;O3;Sao Paulo;µg/m³;3.0;2017-10-27T03:00:00-04:00;Brazil
Jundiaí;Brazil - Jundiaí - Jundiaí;-23.192003,-46.8971;BR;O3;Sao Paulo;µg/m³;130.0;2017-10-27T14:00:00-04:00;Brazil
Santos;Brazil - Santos - Santos-Ponta da Praia;-23.981295,-46.30051;BR;O3;Sao Paulo;µg/m³;74.0;2017-10-27T14:00:00-04:00;Brazil
São José Do Rio Preto;Brazil - São José Do Rio Preto - São José Do Rio Preto;-20.784689,-49.398277;BR;O3;Sao Paulo;µg/m³;109.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Itaquera;-23.580015,-46.466652;BR;O3;Sao Paulo;µg/m³;35.0;2017-10-27T13:00:00-04:00;Brazil
Paulínia;Brazil - Paulínia - Paulínia;-22.772322,-47.154842;BR;O3;Sao Paulo;µg/m³;138.0;2017-10-27T14:00:00-04:00;Brazil
