Regiao;OPCAO;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Recife - PE;PTS - particulas totais em suspensao;160;370;133;318;100;89;201;139;159;101;89;122;89;-;-;-;-;-;-;-;-;-
Recife - PE;PM10 - particulas inalaveis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Recife - PE;SO2 - dioxido de enxofre;134;203;133;292;192;132;36;64;25;-;-;-;-;-;-;-;-;-;-;-;-;-
Recife - PE;NO2 - dioxido de nitrogenio;225;324;234;348;231;201;246;495;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Recife - PE;Ozonio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Recife - PE;CO - monoxido de carbono;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Belo Horizonte - MG;PTS - particulas totais em suspensao;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Belo Horizonte - MG;PM10 - particulas inalaveis;229;276;186;211;252;195;149;133;153;137;192;163;118;194;83;158;204;206;178;-;-;-
Belo Horizonte - MG;SO2 - dioxido de enxofre;-;-;-;-;-;-;-;-;-;33;91;58;81;78;55;101;180;51;-;-;-;-
Belo Horizonte - MG;NO2 - dioxido de nitrogenio;-;-;-;-;-;-;-;141;86;202;120;149;111;213;204;223;343;227;128;-;-;-
Belo Horizonte - MG;Ozonio;-;-;-;-;152;142;123;140;200;194;223;162;179;300;284;315;313;234;165;-;-;-
Belo Horizonte - MG;CO - monoxido de carbono;-;-;-;-;8079;5620;8430;4684;4801;3557;14700;5200;4286;6571;5316;13863;11535;-;-;-;-;-
Sao Paulo - SP;PTS - particulas totais em suspensao;-;-;-;-;788;790;698;563;345;410;316;459;364;395;567;457;630;385;401;511;364;-
Sao Paulo - SP;PM10 - particulas inalaveis;-;-;-;-;310;294;434;288;281;261;151;251;195;157;195;314;311;306;263;249;261;-
Sao Paulo - SP;SO2 - dioxido de enxofre;-;-;-;-;129;98;68;141;170;97;35;87;96;39;24;120;76;138;209;83;86;-
Sao Paulo - SP;NO2 - dioxido de nitrogenio;-;-;-;-;210;227;460;338;439;357;351;234;277;328;295;328;239;356;296;283;317;-
Sao Paulo - SP;Ozonio;-;-;-;-;125;115;152;264;177;147;300;345;604;233;269;344;335;341;310;377;401;-
Sao Paulo - SP;CO - monoxido de carbono;-;-;-;-;75650;28301;13481;12030;6917;10589;9039;10720;7186;9502;7445;12684;12684;27674;17563;22247;9367;-
Porto Alegre - RS;PTS - particulas totais em suspensao;-;-;-;-;-;243;228;237;228;452;440;684;816;589;368;539;574;480;454;-;-;-
Porto Alegre - RS;PM10 - particulas inalaveis;-;-;-;-;-;-;-;79;210;231;158;203;355;420;203;199;271;278;201;-;-;-
Porto Alegre - RS;SO2 - dioxido de enxofre;-;-;-;-;-;86;93;121;491;1395;945;357;326;334;563;339;364;286;322;-;-;-
Porto Alegre - RS;NO2 - dioxido de nitrogenio;-;-;-;-;-;362;198;281;322;716;383;516;472;413;624;431;525;425;493;-;-;-
Porto Alegre - RS;Ozonio;-;-;-;-;-;383;347;252;192;205;208;188;195;188;167;191;175;176;171;-;-;-